,Miles,Time
2014-08-02,1.7,
2014-08-03,1.4,
2014-08-04,2.1,
2014-08-05,0.0,
2014-08-06,2.38,
2014-08-07,2.3,
2014-08-08,3.4,
2014-08-09,2.5,
2014-08-10,3.36,0:28:37
2014-08-11,1.67,0:13:07
2014-08-12,1.42,0:10:35
2014-08-13,2.35,0:17:25
2014-08-14,0.9,0:06:16
2014-08-14,0.9,0:06:16
2014-08-15,1.78,
2014-08-16,0.65,
2014-08-17,1.34,
2014-08-18,0.65,
2014-08-19,1.37,
2014-08-19,1.37,
2014-08-20,1.37,0:09:33
2014-08-21,1.37,0:09:24
2014-08-22,1.37,0:09:05
2014-08-23,1.34,
2014-08-24,3.0,
2014-08-25,1.37,0:08:55
2014-08-25,1.34,
2014-08-26,1.37,0:10:30
2014-08-27,2.5,0:25:00
2014-08-28,0.0,
2014-08-29,5.0,0:43:27
2014-08-30,0.0,
2014-08-31,0.0,
2014-09-01,0.0,
2014-09-02,2.0,
2014-09-03,0.0,
2014-09-04,3.05,
2014-09-05,3.05,0:23:50
2014-09-06,0.0,
2014-09-07,0.0,
2014-09-08,3.05,0:23:11
2014-09-09,0.0,
2014-09-10,1.37,0:08:57
2014-09-11,0.0,
2014-09-12,3.05,0:23:46
2014-09-13,0.0,
2014-09-14,0.0,
2014-09-15,0.0,
2014-09-16,3.05,0:22:48
2014-09-17,1.5,0:11:06
2014-09-18,0.0,
2014-09-19,1.37,0:09:45
2014-09-20,0.0,
2014-09-21,4.03,0:30:22
2014-09-22,0.0,
2014-09-23,0.0,
2014-09-24,0.0,
2014-09-25,0.0,
2014-09-26,0.0,
2014-09-27,0.0,
2014-09-28,1.5,0:11:18
2014-09-28,1.5,0:11:18
2014-09-29,3.05,0:21:55
2014-09-30,0.0,
2014-10-01,0.0,
2014-10-02,0.0,
2014-10-03,0.0,
2014-10-04,4.63,0:40:00
2014-10-04,1.87,
2014-10-04,4.08,0:33:00
2014-10-05,0.0,
2014-10-06,0.0,
2014-10-07,0.0,
2014-10-08,0.0,
2014-10-09,0.0,
2014-10-10,0.0,
2014-10-11,0.0,
2014-10-12,3.05,0:22:37
2014-10-13,0.0,
2014-10-14,1.37,0:09:05
2014-10-15,0.0,
2014-10-16,0.0,
2014-10-17,0.0,
2014-10-18,1.5,0:09:40
2014-10-18,1.5,
2014-10-18,1.37,
2014-10-19,0.0,
2014-10-20,1.37,0:08:36
2014-10-21,0.0,
2014-10-22,0.0,
2014-10-23,0.0,
2014-10-24,0.0,
2014-10-25,2.0,
2014-10-26,0.0,
2014-10-27,0.0,
2014-10-28,0.0,
2014-10-29,0.0,
2014-10-30,0.0,
2014-10-31,2.01,
2014-11-01,0.0,
2014-11-02,1.37,0:08:43
2014-11-03,5.3,0:39:26
2014-11-04,3.05,0:22:12
2014-11-05,0.0,
2014-11-06,0.0,
2014-11-07,5.63,0:49:05
2014-11-07,1.26,
2014-11-07,1.2,
2014-11-08,0.0,
2014-11-09,3.05,0:22:36
2014-11-10,1.5,0:09:00
2014-11-10,1.5,0:11:33
2014-11-10,4.0,
2014-11-11,0.0,
2014-11-12,0.0,
2014-11-13,0.0,
2014-11-14,0.0,
2014-11-15,0.0,
2014-11-16,0.0,
2014-11-17,0.0,
2014-11-18,0.0,
2014-11-19,0.0,
2014-11-20,0.0,
2014-11-21,0.0,
2014-11-22,0.0,
2014-11-23,3.05,0:22:35
2014-11-24,0.0,
2014-11-25,0.0,
2014-11-26,0.0,
2014-11-27,1.0,
2014-11-28,3.0,
2014-11-29,0.0,
2014-11-30,0.0,
2014-12-01,0.0,
2014-12-02,0.0,
2014-12-03,0.0,
2014-12-04,0.0,
2014-12-05,0.0,
2014-12-06,0.0,
2014-12-07,0.0,
2014-12-08,0.0,
2014-12-09,2.93,0:25:00
2014-12-10,0.0,
2014-12-11,0.0,
2014-12-12,1.37,0:09:15
2014-12-13,5.3,0:43:36
2014-12-13,2.21,0:18:59
2014-12-14,0.0,
2014-12-15,6.5,0:58:43
2014-12-16,0.0,
2014-12-17,12.0,1:39:00
2014-12-18,0.0,
2014-12-19,3.1,0:26:15
2014-12-20,14.8,2:15:00
2014-12-21,0.0,
2014-12-22,3.1,0:28:00
2014-12-23,5.63,0:51:50
2014-12-24,3.05,0:25:08
2014-12-25,14.8,2:20:00
2014-12-26,5.2,
2014-12-27,0.0,
2014-12-28,0.0,
2014-12-29,0.0,
2014-12-30,3.15,0:22:10
2014-12-31,0.0,
2015-01-01,26.2,4:20:43
